drive_url,drive_folder,file_name,mime_type,local_copy,sha256,niveau,theme,sequence_possible,qualite_initiale,decision,raison
https://drive.google.com/file/d/1l6mvP-KHIcUnAdaSXKD5CMQ5VM7kFSrj/view,reprise_nsi,copie_de_progres_nsi_amelioree.pdf,application/pdf,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,reprise,S01,non_auditee,missing_local_copy,Copie locale absente ; contenu non inventé.
https://drive.google.com/file/d/18EAXjjKFiY9wd2PmmDFnVH_fqOCfJ0uu/view,reprise_nsi,copie_de_progres_nsi_amelioree.tex,text/x-tex,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,reprise,S01,non_auditee,missing_local_copy,Copie locale absente ; source LaTeX non inventée.
https://drive.google.com/file/d/1dGK71-Y6RajyBwKRrUH2JdY-P6XVtCG0/view,reprise_nsi,guide_enseignant_reprise_nsi_ameliore.tex,text/x-tex,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,guide_professeur,S01,non_auditee,missing_local_copy,Copie locale absente ; guide non inventé.
https://drive.google.com/file/d/1wtFEv4COXdvtWdFsEGPm210rNVTMDzuH/view,complexite_premiere,Cours.pdf,application/pdf,Documents_DRIVE/Algo_Premiere/Cours.pdf,b215d415d71f1c48bab41ed7bef030f5e92da0b04cbacc54e63cf314360b9027,premiere,complexite,P12,non_auditee,deferred,Copie locale trouvée ; ressource de tri/complexité à adapter dans un lot P12 dédié.
https://drive.google.com/file/d/1BxvZAKnE5-zmGsuhuA-vsEwc6emVArAC/view,complexite_premiere,2_TP.pdf,application/pdf,Documents_DRIVE/Algo_Premiere/2_TP.pdf,75ddc3fc3503cd0141116205ac46e50f4c26328305953a5f280db71753a63885,premiere,glouton,P13,non_auditee,deferred,Copie locale trouvée ; TP glouton à adapter dans un lot P13 dédié.
https://drive.google.com/file/d/16n2WTFGhfWZ2GlvJVo2KtmM7sl8Xcq-h/view,evaluations_mixtes,eval_nsi_corrige.pdf,application/pdf,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,evaluation,NA,non_auditee,missing_local_copy,Copie locale absente ; corrigé mixte non intégré.
https://drive.google.com/file/d/13ELz1xNM4Op-NT1J3dXXSUlCE_RyLT02/view,evaluations_mixtes,eval_nsi.pdf,application/pdf,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,evaluation,NA,non_auditee,missing_local_copy,Copie locale absente ; évaluation non intégrée.
https://drive.google.com/drive/folders/17p8o3c_sRCmxcUquUpTYqSMtTrZ-B0v5,soc_pipeline,rendus_eleves,application/vnd.google-apps.folder,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,rendus,NA,non_publiable,rejected_sensitive,Dossier de rendus élèves interdit en livraison pédagogique.
https://drive.google.com/drive/folders/1PftyDQWIcPa-HwKtRCfLOpKiyu3nS904,soc_pipeline,.git,application/vnd.google-apps.folder,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,technique,NA,non_publiable,rejected_sensitive,Dossier Git Drive interdit en ressource pédagogique.
https://drive.google.com/drive/folders/1gPsU9V-khFrmPp5UTKJJAfZlmyCzBh2O,soc_pipeline,.venv,application/vnd.google-apps.folder,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,NA,technique,NA,non_publiable,rejected_sensitive,Environnement virtuel interdit en ressource pédagogique.
https://drive.google.com/file/d/1XKjMrv809Jhlssik8Bce_e4ALkmRrHCG/view,soc_pipeline,TP_SOC.tex,text/x-tex,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,terminale,systemes_sur_puce,T11,non_auditee,missing_local_copy,Fichier TP_SOC.tex absent ; dossier SoC alternatif repéré mais non repris dans ce lot.
https://drive.google.com/file/d/1V6CY8v0jTVEZtp9rodTOqCVEFw-5S1AD/view,premiere_sequence_2023_2024,Séquence1_Histoire de l'informatique,application/vnd.google-apps.folder,NA_REMOTE_NOT_DOWNLOADED,NA_REMOTE_NOT_DOWNLOADED,premiere,histoire,P00,non_auditee,missing_local_copy,Dossier exact absent du miroir local ; pas de contenu inventé.
https://drive.google.com/file/d/1jKieK2NqgjiqryBaSWoyi7_e1fAOAlK7/view,premiere_sequence_2023_2024,Séquence4_Types construits,application/vnd.google-apps.folder,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/2_2020-2021/Bloc 3_Types construits-Traitement données en tables/types_construits_python-v2.pdf,8244cee79d7a50184ca90e3fa83f5539d194a968c639b36df553a728f788b69e,premiere,types_construits,P04,non_auditee,integrated_adapted,"Ressource types construits adaptée dans la fiche P04, sans promotion de statut."
https://drive.google.com/file/d/1M13pI8JsF58GSIeb47K0-bQmaBYqhvUe/view,premiere_tables_algorithmes,1_Cours_Types_construits.pdf,application/pdf,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/2_2020-2021/Bloc 3_Types construits-Traitement données en tables/types_construits_python-v2.pdf,8244cee79d7a50184ca90e3fa83f5539d194a968c639b36df553a728f788b69e,premiere,types_construits,P04,non_auditee,integrated_adapted,Cours local équivalent types_construits_python-v2.pdf adapté dans P04.
https://drive.google.com/file/d/1iT51kD_5mz4BizHJu8MMbVS_feueFlRH/view,premiere_tables_algorithmes,1_RdD_Entier naturel.pdf,application/pdf,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/3_2021-2022/Bloc2/1_RdD_Entier naturel.pdf,e53f185ce4b25d11b25460df6512d103574965666c1fa294865828f9c061d7bc,premiere,representation_donnees,S01,non_auditee,integrated_adapted,Ressource entier naturel adaptée pour renforcer S01 cours élève.
https://drive.google.com/file/d/1Nj7mSmoAVxDDblUV6AElbfFJ0EH4wy59/view,premiere_tables_algorithmes,pays_monde.csv,text/csv,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/1_2019-2020/1_Cours/11_traitement de tables/pays_monde.csv,57359dcc669fa30c547923cea12fd3d0cbe1268b5ecf200411e0e61dd855e958,premiere,tables_csv,P05,non_auditee,integrated_adapted,Extrait non personnel normalisé et intégré aux supports P05.
https://drive.google.com/file/d/1Hb4pMienT0bJA-AOoIjYCnwyxe3E8XkS/view,premiere_algorithmes_tables,NotesEleves.csv,text/csv,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/1_2019-2020/1_Cours/11_traitement de tables/TD_table_CSV+videos/NotesEleves.csv,4baef1a5cf5418f532c6b029308131947a257f71e5dec4e5f606f518b6e50431,premiere,donnees_eleves,NA,non_publiable,rejected_sensitive,Nom et contenu suggèrent des notes élèves ; ressource exclue.
https://drive.google.com/file/d/1pBmvez5QqvSfuvTrpJ78FXZ3-uUGUkPM/view,premiere_algorithmes_tables,Fichier_Eleves.csv,text/csv,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/3_2021-2022/Bloc3/Evaluation_TdDeT/Fichier_Eleves.csv,555ab7bedfd6447833f45f11abb7875a09e104a71ecbd63fef2564bfa5dbfa49,premiere,donnees_eleves,NA,non_publiable,rejected_sensitive,Nom suggère fichier élèves ; ressource exclue.
https://drive.google.com/file/d/1ZiPZWTzbH_ZGdZ_9QyCM6a-XLWsFeLzK/view,premiere_tables_algorithmes,tri_bulles_eleve.py,text/x-python,Documents_DRIVE/2_NSI/Cours/Première NSI Pierrot caillabet/3_2021-2022/Bloc5_Tris/tri_bulles.py,17141d4b98169ac6fcc4a216681af103c1aa9ab57d8f5f58761e2ce672260b4b,premiere,tri,P12,non_auditee,inspiration_only,"Fichier élève exact absent ; algorithme local non élève repéré comme inspiration seulement, non copié."
https://drive.google.com/file/d/1JieltyOjb0UeXpBwT_5KbtKNn5I0OE1b/view,terminale_sequences,Séquence1_TAD_Théorie,application/vnd.google-apps.folder,Documents_DRIVE/NSI_Tle/Séquence1_TAD_Théorie,8ffe9aafd46786fc86868d9c742b1aa3c5dfbe37ddce79f406a6127c991513bf,terminale,structures_donnees,T01,non_auditee,integrated_adapted,"Dossier TAD adapté dans la fiche T01, sans validation."
https://drive.google.com/file/d/1SkzniHf4sqcLwe5S5LnjyyoznSGoMCB6/view,terminale_sequences,Séquence6_Arbres binaires,application/vnd.google-apps.folder,Documents_DRIVE/NSI_Tle/Séquence6_Arbres binaires,fd09d59cc345f561a0a173ec075367de9cb54c4bdf2f6d99228cb5a2eae6c0b3,terminale,arbres,T05,non_auditee,deferred,Dossier local trouvé ; audit différé pour éviter intégration partielle non relue.
https://drive.google.com/file/d/1GQNWrrecnEuhO-7oap2J1gDasOP3VEKJ/view,terminale_sequences,Séquence17_Boyer-Moore,application/vnd.google-apps.folder,Documents_DRIVE/NSI_Tle/Séquence17_Boyer-Moore,e325a488684eb9f2267791d20b686551e6aeebc660952ce48496d00a396b7084,terminale,boyer_moore,T18,non_auditee,integrated_adapted,"Dossier Boyer-Moore adapté dans la fiche T18, sans validation."
